id,county_name,region_code,county_code,district_code,extra_code,district_type,name,base_zip_code,enabled
0100100100000,Adams,01,001,001,0,26,Payson CUSD 1,62360,0
0100100200000,Adams,01,001,002,0,26,Liberty CUSD 2,62347,0
0100100300000,Adams,01,001,003,0,26,Central CUSD 3,62320,0
0100100400000,Adams,01,001,004,0,26,CUSD 4,62351,0
0100117200000,Adams,01,001,172,0,22,Quincy SD 172,62301,0
0100500100000,Brown,01,005,001,0,26,Brown County CUSD 1,62353,0
0100901500000,Cass,01,009,015,0,26,Beardstown CUSD 15,62618,0
0100906400000,Cass,01,009,064,0,26,Virginia CUSD 64,62691,0
0100926200000,Cass,01,009,262,0,26,A-C Central CUSD 262,62612,0
0106900100000,Morgan,01,069,001,0,26,Franklin CUSD 1,62638,0
0106900600000,Morgan,01,069,006,0,26,Waverly CUSD 6,62692,0
0106901100000,Morgan,01,069,011,0,26,Meredosia-Chambersburg CUSD 11,62665,0
0106902700000,Morgan,01,069,027,0,26,Triopia CUSD 27,62631,0
0106911700000,Morgan,01,069,117,0,22,Jacksonville SD 117,62650,0
0107500300000,Pike,01,075,003,0,26,Pleasant Hill CUSD 3,62366,0
0107500400000,Pike,01,075,004,0,26,Griggsville-Perry CUSD 4,62340,0
0107501000000,Pike,01,075,010,0,26,Pikeland CUSD 10,62363,0
0107501200000,Pike,01,075,012,0,26,Western CUSD 12,62312,0
0108600100000,Scott,01,086,001,0,26,Winchester CUSD 1,62694,0
0108600200000,Scott,01,086,002,0,26,Scott-Morgan CUSD 2,62621,0
0300300100000,Bond,03,003,001,0,26,Mulberry Grove CUSD 1,62262,0
0300300200000,Bond,03,003,002,0,26,Bond County CUSD 2,62246,0
0301100100000,Christian,03,011,001,0,26,Morrisonville CUSD 1,62546,0
0301100300000,Christian,03,011,003,0,26,Taylorville CUSD 3,62568,0
0301100400000,Christian,03,011,004,0,26,Edinburg CUSD 4,62531,0
0301100800000,Christian,03,011,008,0,26,Pana CUSD 8,62557,0
0301101400000,Christian,03,011,014,0,24,South Fork SD 14,62540,0
0302501000000,Effingham,03,025,010,0,26,Altamont CUSD 10,62411,0
0302502000000,Effingham,03,025,020,0,26,Beecher City CUSD 20,62414,0
0302503000000,Effingham,03,025,030,0,26,Dieterich CUSD 30,62424,0
0302504000000,Effingham,03,025,040,0,26,Effingham CUSD 40,62401,0
0302505000000,Effingham,03,025,050,0,26,Teutopolis CUSD 50,62467,0
