id,district_id,facility_name,zip_code,grades_served
0100100100001,0100100100000,Seymour High School,62360,7-12
0100100102002,0100100100000,Seymour Elementary School,62360,P-6
0100100200001,0100100200000,Liberty High School,62347,7-12
0100100202002,0100100200000,Liberty Elementary School,62347,P-6
0100100300001,0100100300000,Central High School,62320,9-12
0100100301001,0100100300000,Central Junior High School,62320,5-8
0100100302003,0100100300000,Central Elementary Grade School,62320,P-2
0100100302008,0100100300000,Central 3-4 Middle School,62339,3-4
0100100400001,0100100400000,Unity High School,62351,9-12
0100100402006,0100100400000,Unity Elementary School,62351,P-5
0100100402007,0100100400000,Unity Middle School,62351,6-8
0100117200003,0100117200000,Quincy Sr High School,62301,9-12
0100117201003,0100117200000,Quincy Jr High School,62301,6-8
0100117202004,0100117200000,Sarah Atwater Denman Elementary School,62305,K-5
0100117202006,0100117200000,Colonel George Iles Elementary School,62305,K-5
0100117202009,0100117200000,Thomas S Baldwin Elementary School,62301,K-5
0100117202016,0100117200000,Lincoln-Douglas Elementary School,62305,K-5
0100117202017,0100117200000,Dr. Abby Fox Rooney Elementary School,62305,K-5
0100117203004,0100117200000,Early Childhood,62301,"P,K"
0100117203005,0100117200000,Adams Co Juvenile Detention Cntr,62305,5-12
0100500100001,0100500100000,Brown County High School,62353,9-12
0100500101002,0100500100000,Brown County Middle School,62353,5-8
0100500102002,0100500100000,Brown County Elementary School,62353,P-4
0100901500007,0100901500000,Beardstown Jr/Sr High School,62618,5-12
0100901502003,0100901500000,Gard Elementary School,62618,K-4
0100901503002,0100901500000,Grand Ave Sch,62618,P
0100906400003,0100906400000,Virginia Jr/ Sr High School,62691,6-12
0100906402001,0100906400000,Virginia Elem School,62691,P-5
0100926200002,0100926200000,A-C Central High School,62612,9-12
0100926201002,0100926200000,A-C Central Middle School,62612,5-8
0100926202001,0100926200000,A-C Central Elementary School,62627,P-4
0106900100001,0106900100000,Franklin Jr/Sr High School,62638,6-12
0106900102005,0106900100000,Franklin East Grade School,62638,P-2
0106900102006,0106900100000,Franklin Elementary School,62638,3-5
0106900600001,0106900600000,Waverly Junior/Senior High School,62692,7-12
0106900602002,0106900600000,Waverly Elementary School,62692,P-6
0106901100001,0106901100000,Meredosia-Chambersburg High Sch,62665,9-12
0106901101001,0106901100000,Meredosia-Chambersburg Jr High,62665,6-8
0106901102003,0106901100000,Meredosia-Chambersburg Elem Sch,62665,P-5
0106902700001,0106902700000,Triopia Jr-Sr High School,62631,7-12
0106902702002,0106902700000,Triopia Grade School,62631,P-6
0106911700014,0106911700000,Jacksonville High School,62650,9-12
0106911701013,0106911700000,Jacksonville Middle School,62650,5-8
0106911702001,0106911700000,Eisenhower Elem School,62650,K-5
0106911702005,0106911700000,Washington Elem School,62650,K-5
0106911702006,0106911700000,Lincoln Elem School,62650,K-5
0106911702007,0106911700000,South Jacksonville Elem School,62650,K-5
0106911702008,0106911700000,North Jacksonville School,62650,K-5
0106911702009,0106911700000,Murrayville-Woodson Elem School,62668,K-5
0106911703011,0106911700000,Special Education and Student Services,62650,P
0106911703012,0106911700000,The Early Years,62650,P
0106911703013,0106911700000,Crossroad Learning Center,62650,K-12
0107500300002,0107500300000,Pleasant Hill High School,62366,9-12
0107500302001,0107500300000,Pleasant Hill Elem School,62366,P-8
0107500400002,0107500400000,Griggsville-Perry High School,62340,9-12
0107500401002,0107500400000,Griggsville-Perry Middle School,62362,5-8
0107500402001,0107500400000,Griggsville-Perry Primary School,62340,P-4
0107501000009,0107501000000,Pittsfield High School,62363,9-12
0107501002007,0107501000000,Pittsfield South Elem School,62363,P-2
0107501002010,0107501000000,Pikeland Community School,62363,3-8
0107501200001,0107501200000,Western High School,62312,9-12
0107501201001,0107501200000,Western Jr High School,62345,"P,6-8"
0107501202001,0107501200000,Western Barry Elem,62312,K-5
0108600100001,0108600100000,Winchester High School,62694,9-12
0108600102002,0108600100000,Winchester Elem School,62694,P-8
0108600200001,0108600200000,Bluffs High School,62621,9-12
0108600201001,0108600200000,Bluffs Junior High School,62621,6-8
0108600202001,0108600200000,Bluffs Elementary School,62621,P-5
0300300100001,0300300100000,Mulberry Grove Sr High School,62262,9-12
0300300101001,0300300100000,Mulberry Grove Jr High School,62262,6-8
0300300102001,0300300100000,Mulberry Grove Elem School,62262,P-5
0300300200001,0300300200000,Bond Cty Comm Unit 2 High School,62246,9-12
0300300201002,0300300200000,Greenville Jr High School,62246,6-8
0300300202003,0300300200000,Greenville Elem School,62246,P-5
