zip,lat,lng,city,population,county_name
60002,42.46973,-88.08716,Antioch,24066,Lake
60004,42.11201,-87.97917,Arlington Heights,50915,Cook
60005,42.06394,-87.98568,Arlington Heights,29539,Cook
60007,42.0076,-87.99298,Elk Grove Village,33420,Cook
60008,42.07441,-88.02265,Rolling Meadows,21833,Cook
60010,42.15227,-88.16351,Barrington,46087,Lake
60012,42.27204,-88.31267,Crystal Lake,10958,McHenry
60013,42.22038,-88.23584,Cary,25827,McHenry
60014,42.232,-88.32735,Crystal Lake,48443,McHenry
60015,42.1725,-87.87479,Deerfield,27452,Lake
60016,42.04972,-87.89166,Des Plaines,59637,Cook
60018,41.99744,-87.89693,Des Plaines,30386,Cook
60020,42.39198,-88.1775,Fox Lake,9827,Lake
60021,42.19485,-88.21823,Fox River Grove,5548,McHenry
60022,42.13608,-87.76761,Glencoe,8477,Cook
60025,42.0754,-87.82043,Glenview,41014,Cook
60026,42.09225,-87.83744,Glenview,14118,Cook
60029,42.05926,-87.77836,Golf,560,Cook
60030,42.33666,-88.04459,Grayslake,36817,Lake
60031,42.37504,-87.94113,Gurnee,37172,Lake
60033,42.42479,-88.60744,Harvard,13681,McHenry
60034,42.45621,-88.41945,Hebron,2077,McHenry
60035,42.18371,-87.81056,Highland Park,29734,Lake
60040,42.20631,-87.81304,Highwood,5366,Lake
60041,42.36832,-88.15543,Ingleside,8897,Lake
60042,42.27928,-88.19789,Island Lake,8420,McHenry
60043,42.08885,-87.71458,Kenilworth,2512,Cook
60044,42.28534,-87.86792,Lake Bluff,10003,Lake
60045,42.23838,-87.86979,Lake Forest,21131,Lake
60046,42.41609,-88.06042,Lake Villa,35286,Lake
60047,42.20226,-88.04547,Lake Zurich,42637,Lake
60048,42.29522,-87.94981,Libertyville,29058,Lake
60050,42.33106,-88.29554,Mchenry,32732,McHenry
60051,42.35416,-88.22936,Mchenry,23298,McHenry
60053,42.04234,-87.78897,Morton Grove,23256,Cook
60056,42.06654,-87.93438,Mount Prospect,55250,Cook
60060,42.26991,-88.03972,Mundelein,37208,Lake
60061,42.23375,-87.96073,Vernon Hills,27004,Lake
60062,42.12655,-87.84438,Northbrook,40459,Cook
60064,42.32251,-87.86059,North Chicago,15705,Lake
60067,42.10658,-88.06539,Palatine,38177,Cook
60068,42.0125,-87.84355,Park Ridge,37736,Cook
60069,42.19761,-87.9261,Lincolnshire,8186,Lake
60070,42.10342,-87.93006,Prospect Heights,16049,Cook
60071,42.46376,-88.31287,Richmond,3581,McHenry
60072,42.40674,-88.30586,Ringwood,1021,McHenry
60073,42.34816,-88.10978,Round Lake,61706,Lake
60074,42.13148,-88.02657,Palatine,39478,Cook
60076,42.03524,-87.72989,Skokie,31867,Cook
60077,42.03477,-87.75719,Skokie,28329,Cook
60081,42.45072,-88.22624,Spring Grove,9660,McHenry
60083,42.43614,-87.9459,Wadsworth,9990,Lake
60084,42.26788,-88.14094,Wauconda,16612,Lake
60085,42.35333,-87.86825,Waukegan,70850,Lake
60087,42.40344,-87.85381,Waukegan,26678,Lake
60088,42.30638,-87.85275,Great Lakes,12662,Lake
60089,42.16693,-87.96064,Buffalo Grove,41392,Lake
60090,42.1295,-87.92197,Wheeling,38476,Cook
60091,42.07702,-87.72809,Wilmette,27367,Cook
60093,42.10441,-87.75872,Winnetka,19441,Cook
60096,42.48091,-87.82974,Winthrop Harbor,6803,Lake
60097,42.39598,-88.3647,Wonder Lake,10826,McHenry
60098,42.32526,-88.45785,Woodstock,32526,McHenry
60099,42.46126,-87.86986,Zion,30934,Lake
60101,41.93065,-88.01184,Addison,39216,DuPage
60102,42.16404,-88.30649,Algonquin,32739,McHenry
60103,41.97942,-88.20634,Bartlett,42196,DuPage
60104,41.88284,-87.87648,Bellwood,18999,Cook
60106,41.96046,-87.9419,Bensenville,20462,DuPage
60107,42.02214,-88.17931,Streamwood,40437,Cook
60108,41.94927,-88.09176,Bloomingdale,22766,DuPage
60109,42.04982,-88.54598,Burlington,568,Kane
60110,42.12292,-88.28591,Carpentersville,39333,Kane
60111,42.00818,-88.82811,Clare,150,DeKalb
60112,41.92432,-88.69089,Cortland,4356,DeKalb
60113,41.93221,-88.96583,Creston,339,Ogle
60115,41.90082,-88.7548,Dekalb,45325,DeKalb
60118,42.1067,-88.30525,Dundee,15836,Kane
60119,41.86048,-88.47667,Elburn,10246,Kane
60120,42.03454,-88.23847,Elgin,50922,Kane
60123,42.04022,-88.31131,Elgin,48952,Kane
60124,42.02582,-88.39709,Elgin,22338,Kane
60126,41.89644,-87.94202,Elmhurst,48410,DuPage
60129,42.02643,-88.95633,Esmond,260,DeKalb
